New Time: 22.633273601531982
Old Time: 42.15370440483093
         33168290 function calls (32649986 primitive calls) in 73.798 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1906/4    0.023    0.000    8.781    2.195 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   1912/4    0.027    0.000    8.781    2.195 <frozen importlib._bootstrap>:978(_find_and_load)
    17/11    0.000    0.000    1.842    0.167 <frozen importlib._bootstrap>:994(_gcd_import)
      195    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
  195/194    0.002    0.000    0.298    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
  195/144    0.002    0.000    0.612    0.004 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(_get_parent_path)
        1    0.000    0.000    0.021    0.021 <frozen importlib._bootstrap_external>:1101(_recalculate)
        1    0.000    0.000    0.021    0.021 <frozen importlib._bootstrap_external>:1114(__iter__)
      208    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     3206    0.009    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
1864/1863    0.025    0.000    3.251    0.002 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1863    0.005    0.000    3.257    0.002 <frozen importlib._bootstrap_external>:1272(find_spec)
      209    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     1672    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
     1782    0.021    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     3202    0.097    0.000    3.253    0.001 <frozen importlib._bootstrap_external>:1356(find_spec)
      209    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      209    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     3174    0.029    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1782    0.009    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     3202    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
1589/1588    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     1587    0.009    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1587    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     4761    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     1587    0.014    0.000    0.511    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    18268    0.039    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     1782    0.015    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
    18268    0.034    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     3177    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:711(is_package)
     1587    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:719(create_module)
   1587/4    0.013    0.000    8.758    2.189 <frozen importlib._bootstrap_external>:722(exec_module)
     8668    0.013    0.000    3.005    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1587    0.043    0.000    0.783    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3879    0.009    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     1587    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:884(__init__)
     1588    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
     1587    0.074    0.000    0.143    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:921(get_resource_reader)
     3465    0.005    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(resource_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:937(is_resource)
     1587    0.004    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      414    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       80    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        2    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.002    0.002 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.012    0.012 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:20(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Image.py:153(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:164(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:173(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:192(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:200(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:205(Quantize)
       20    0.000    0.000    0.000    0.000 Image.py:238(_conv_type_shape)
        1    0.000    0.000    0.028    0.028 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2721(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2730(ImageTransformHandler)
